,count,mean,std,min,25%,50%,75%,max
Model_Year,1589.0,2022.8162366268093,3.0881610587579327,2012.0,2021.0,2024.0,2025.0,2026.0
Engine_Size_L,6675.0,3.115505617977528,1.3553756040117269,0.6,2.0,3.0,3.7,8.4
Cylinders,6675.0,5.568689138576779,1.8430008375468698,2.0,4.0,6.0,6.0,16.0
Motor_kW,1589.0,280.77218376337316,170.10904698330486,35.0,135.0,260.0,400.0,930.0
Fuel_Cons_City_L100km,6675.0,12.425977528089886,3.6286554631126675,4.2,9.9,11.9,14.5,30.6
Fuel_Cons_Hwy_L100km,6675.0,9.026966292134832,2.2782231188965967,4.0,7.4,8.6,10.2,20.6
Fuel_Cons_Comb_L100km,6675.0,10.897123595505619,2.982318405297701,4.1,8.8,10.5,12.6,26.1
Fuel_Cons_Comb_mpg,6281.0,27.410284986467122,7.245663051488971,11.0,22.0,27.0,32.0,69.0
Elec_Cons_City_kWh100km,1195.0,22.170041841004185,4.748732308833741,13.7,18.2,21.8,25.4,45.2
Elec_Cons_Hwy_kWh100km,1195.0,24.59464435146444,5.191131282275916,14.8,21.1,23.8,27.3,49.8
Elec_Cons_Comb_kWh100km,1589.0,18.411264946507238,9.461684244306248,1.8,14.9,20.7,25.0,47.3
Elec_Range_km,1589.0,347.73505349276275,201.4051636891547,6.0,109.0,414.0,491.0,837.0
Total_Range_km,1589.0,508.88546255506606,170.81506555635926,92.0,409.0,483.0,579.0,1035.0
Recharge_Time_h,1589.0,8.711139081183134,3.9774627082957723,1.1,5.0,9.5,12.0,18.6
CO2_Emissions_g_km,7870.0,205.7168996188056,107.69233017462666,0.0,175.0,227.0,276.0,522.0
CO2_Rating,1535.0,9.686644951140066,1.0104655172753738,1.0,10.0,10.0,10.0,10.0
Smog_Rating,1492.0,9.018096514745308,1.9109117628311734,1.0,10.0,10.0,10.0,10.0
